date,platform,campaign,ad_set,impressions,clicks,spend,conversions,ctr,cpc,audience,geo,device
2023-01-03,Meta Ads,Conversion Boost,Carousel,38529,2717,735.44,95,7.05,0.27,Lookalike,AU,Tablet
2023-01-03,Meta Ads,Retargeting,Video,13869,744,575.49,74,5.36,0.77,Custom,CA,Mobile
2023-01-03,Meta Ads,Conversion Boost,Mobile,29064,1289,673.01,26,4.44,0.52,Lookalike,IN,Tablet
2023-01-03,Google Ads,Lead Gen,Carousel,13991,2858,556.16,80,20.43,0.19,Broad,IN,Mobile
2023-01-03,Google Ads,Brand Awareness,Video,31386,2022,1471.49,81,6.44,0.73,Broad,CA,Mobile
2023-01-03,Google Ads,Retargeting,Display,22083,2020,911.13,3,9.15,0.45,Lookalike,AU,Tablet
2023-01-03,Meta Ads,Conversion Boost,Search,42862,414,725.2,72,0.97,1.75,Broad,UK,Tablet
2023-01-03,Meta Ads,Conversion Boost,Video,35631,165,24.69,80,0.46,0.15,Custom,US,Mobile
2023-01-03,Google Ads,Brand Awareness,Video,16072,889,112.44,37,5.53,0.13,Lookalike,AU,Tablet
2023-01-03,Meta Ads,Retargeting,Mobile,22826,2540,65.57,46,11.13,0.03,Lookalike,CA,Tablet
2023-01-03,Google Ads,Lead Gen,Search,25045,1774,1391.05,79,7.08,0.78,Lookalike,CA,Tablet
2023-01-03,Meta Ads,Lead Gen,Mobile,34905,2577,1395.3,85,7.38,0.54,Custom,CA,Tablet
2023-01-03,Meta Ads,Lead Gen,Search,22162,1883,956.17,20,8.5,0.51,Lookalike,UK,Tablet
2023-01-03,Google Ads,Retargeting,Carousel,18611,2291,513.44,34,12.31,0.22,Interest-Based,CA,Mobile
2023-01-03,Google Ads,Brand Awareness,Desktop,21536,68,316.96,25,0.32,4.66,Custom,IN,Desktop
2023-01-03,Google Ads,Conversion Boost,Desktop,37976,591,41.19,64,1.56,0.07,Interest-Based,IN,Desktop
2023-01-03,Google Ads,Lead Gen,Display,4363,74,956.7,14,1.7,12.93,Custom,UK,Desktop
2023-01-03,Google Ads,Retargeting,Search,21620,1817,1406.89,59,8.4,0.77,Custom,US,Tablet
2023-01-03,Meta Ads,Brand Awareness,Video,8295,250,1153.85,35,3.01,4.62,Broad,IN,Desktop
2023-01-03,Meta Ads,Lead Gen,Video,30218,2291,174.52,22,7.58,0.08,Custom,CA,Tablet
2023-01-03,Meta Ads,Conversion Boost,Display,12528,851,134.92,3,6.79,0.16,Interest-Based,CA,Tablet
2023-01-03,Meta Ads,Retargeting,Display,9605,2064,117.69,98,21.49,0.06,Custom,AU,Mobile
2023-01-03,Meta Ads,Retargeting,Mobile,25322,959,1216.19,44,3.79,1.27,Lookalike,IN,Mobile
2023-01-03,Google Ads,Retargeting,Search,11207,1363,29.01,82,12.16,0.02,Interest-Based,IN,Desktop
2023-01-03,Google Ads,Conversion Boost,Mobile,39010,407,463.36,39,1.04,1.14,Interest-Based,US,Desktop
2023-01-03,Meta Ads,Lead Gen,Mobile,6776,2472,1266.27,15,36.48,0.51,Lookalike,UK,Mobile
2023-01-03,Google Ads,Lead Gen,Mobile,16717,2419,127.89,12,14.47,0.05,Custom,US,Mobile
2023-01-03,Meta Ads,Brand Awareness,Display,11350,2000,363.93,38,17.62,0.18,Lookalike,US,Mobile
2023-01-03,Meta Ads,Conversion Boost,Mobile,3951,1288,1395.26,54,32.6,1.08,Broad,AU,Mobile
2023-01-03,Meta Ads,Conversion Boost,Desktop,37469,2830,883.22,38,7.55,0.31,Broad,IN,Tablet
2023-01-03,Google Ads,Retargeting,Carousel,3368,1743,1468.89,20,51.75,0.84,Lookalike,US,Mobile
2023-01-03,Google Ads,Lead Gen,Video,47132,1354,201.92,80,2.87,0.15,Lookalike,US,Mobile
2023-01-03,Google Ads,Conversion Boost,Mobile,17566,2641,685.04,9,15.03,0.26,Lookalike,IN,Desktop
2023-01-03,Meta Ads,Conversion Boost,Display,25035,1529,840.89,19,6.11,0.55,Lookalike,AU,Tablet
2023-01-03,Google Ads,Conversion Boost,Mobile,1159,2509,367.29,52,216.48,0.15,Lookalike,US,Mobile
2023-01-03,Google Ads,Retargeting,Carousel,15743,2944,837.7,62,18.7,0.28,Interest-Based,UK,Mobile
2023-01-03,Google Ads,Brand Awareness,Desktop,19691,1278,1376.85,7,6.49,1.08,Broad,IN,Tablet
2023-01-03,Meta Ads,Retargeting,Desktop,6585,1085,755.11,77,16.48,0.7,Interest-Based,US,Mobile
2023-01-03,Google Ads,Lead Gen,Display,16649,899,1239.19,74,5.4,1.38,Broad,CA,Desktop
2023-01-03,Google Ads,Retargeting,Mobile,8016,1789,615.62,56,22.32,0.34,Interest-Based,US,Mobile
2023-01-03,Google Ads,Lead Gen,Carousel,24545,1934,89.34,95,7.88,0.05,Broad,AU,Tablet
2023-01-04,Meta Ads,Brand Awareness,Display,45757,2391,1345.68,87,5.23,0.56,Broad,CA,Mobile
2023-01-04,Meta Ads,Lead Gen,Mobile,15087,2010,523.75,43,13.32,0.26,Broad,US,Mobile
2023-01-04,Meta Ads,Conversion Boost,Video,6276,717,170.8,64,11.42,0.24,Custom,UK,Tablet
2023-01-04,Google Ads,Retargeting,Display,6738,186,1267.21,43,2.76,6.81,Lookalike,US,Tablet
2023-01-04,Meta Ads,Conversion Boost,Search,6571,2709,1362.66,50,41.23,0.5,Custom,IN,Desktop
2023-01-04,Meta Ads,Conversion Boost,Search,44148,1156,1366.72,55,2.62,1.18,Broad,IN,Desktop
2023-01-04,Meta Ads,Lead Gen,Desktop,45452,2498,1036.79,89,5.5,0.42,Broad,US,Tablet
2023-01-04,Google Ads,Brand Awareness,Carousel,35716,978,1396.65,88,2.74,1.43,Custom,CA,Desktop
2023-01-04,Google Ads,Retargeting,Desktop,24478,955,225.89,84,3.9,0.24,Broad,US,Tablet
2023-01-04,Meta Ads,Retargeting,Display,13180,284,1006.25,32,2.15,3.54,Custom,IN,Mobile
2023-01-04,Meta Ads,Brand Awareness,Desktop,25427,572,1427.14,46,2.25,2.5,Broad,IN,Mobile
2023-01-04,Meta Ads,Lead Gen,Search,10821,1786,175.94,82,16.5,0.1,Broad,US,Tablet
2023-01-04,Meta Ads,Brand Awareness,Carousel,6842,1725,1499.21,16,25.21,0.87,Custom,CA,Tablet
2023-01-04,Google Ads,Brand Awareness,Search,18508,1575,1436.06,27,8.51,0.91,Lookalike,UK,Tablet
2023-01-04,Meta Ads,Conversion Boost,Video,26599,1626,724.43,17,6.11,0.45,Broad,AU,Tablet
2023-01-04,Meta Ads,Brand Awareness,Mobile,41703,2047,1160.76,70,4.91,0.57,Interest-Based,AU,Desktop
2023-01-04,Meta Ads,Brand Awareness,Carousel,21456,1086,636.43,12,5.06,0.59,Interest-Based,CA,Desktop
2023-01-04,Meta Ads,Lead Gen,Video,47179,2128,1085.09,8,4.51,0.51,Lookalike,UK,Mobile
2023-01-04,Meta Ads,Lead Gen,Carousel,21808,1532,1101.13,85,7.02,0.72,Lookalike,CA,Desktop
2023-01-04,Meta Ads,Conversion Boost,Video,28747,2718,1135.95,33,9.45,0.42,Interest-Based,AU,Tablet
2023-01-04,Google Ads,Retargeting,Carousel,21360,1801,1397.59,35,8.43,0.78,Custom,AU,Tablet
2023-01-04,Meta Ads,Lead Gen,Desktop,48377,1101,1462.4,43,2.28,1.33,Custom,US,Mobile
2023-01-04,Meta Ads,Retargeting,Search,20604,589,1075.55,53,2.86,1.83,Lookalike,CA,Desktop
2023-01-04,Google Ads,Brand Awareness,Mobile,9547,284,564.32,56,2.97,1.99,Lookalike,AU,Desktop
2023-01-04,Meta Ads,Retargeting,Video,27672,167,1177.38,52,0.6,7.05,Interest-Based,AU,Tablet
2023-01-04,Meta Ads,Brand Awareness,Display,3100,607,378.0,23,19.58,0.62,Lookalike,CA,Mobile
2023-01-04,Meta Ads,Conversion Boost,Mobile,37609,2055,1069.89,13,5.46,0.52,Broad,IN,Tablet
2023-01-04,Meta Ads,Lead Gen,Mobile,32881,724,749.44,16,2.2,1.04,Interest-Based,US,Mobile
2023-01-04,Google Ads,Conversion Boost,Desktop,37021,933,34.69,42,2.52,0.04,Custom,IN,Desktop
2023-01-04,Google Ads,Retargeting,Display,32128,789,81.65,89,2.46,0.1,Custom,UK,Tablet
2023-01-04,Meta Ads,Brand Awareness,Display,27853,168,1165.51,46,0.6,6.94,Lookalike,AU,Desktop
2023-01-04,Google Ads,Brand Awareness,Mobile,11704,2201,214.65,75,18.81,0.1,Interest-Based,IN,Mobile
2023-01-04,Meta Ads,Conversion Boost,Carousel,4866,1755,1159.83,93,36.07,0.66,Interest-Based,AU,Mobile
2023-01-04,Google Ads,Conversion Boost,Video,31116,1809,454.1,32,5.81,0.25,Broad,IN,Desktop
2023-01-04,Google Ads,Lead Gen,Search,5025,2616,535.18,11,52.06,0.2,Interest-Based,UK,Tablet
2023-01-04,Google Ads,Conversion Boost,Desktop,47607,769,463.7,99,1.62,0.6,Interest-Based,UK,Tablet
2023-01-04,Meta Ads,Lead Gen,Video,21936,2257,1349.87,96,10.29,0.6,Interest-Based,CA,Desktop
2023-01-04,Google Ads,Brand Awareness,Search,28606,2826,450.89,44,9.88,0.16,Broad,UK,Tablet
2023-01-04,Google Ads,Brand Awareness,Display,45245,1132,468.32,66,2.5,0.41,Broad,UK,Mobile
2023-01-04,Meta Ads,Conversion Boost,Carousel,29572,538,1407.32,97,1.82,2.62,Lookalike,IN,Tablet
2023-01-04,Google Ads,Lead Gen,Display,32131,1152,108.38,43,3.59,0.09,Custom,IN,Tablet
2023-01-04,Meta Ads,Lead Gen,Search,42475,1675,1485.51,4,3.94,0.89,Interest-Based,CA,Tablet
2023-01-04,Google Ads,Lead Gen,Desktop,27423,2705,983.42,74,9.86,0.36,Broad,CA,Tablet
2023-01-04,Meta Ads,Retargeting,Display,17616,1602,353.56,70,9.09,0.22,Interest-Based,US,Desktop
2023-01-04,Meta Ads,Retargeting,Display,44369,75,1273.85,44,0.17,16.98,Interest-Based,AU,Mobile
2023-01-04,Meta Ads,Lead Gen,Search,33082,2364,1472.85,71,7.15,0.62,Interest-Based,AU,Desktop
2023-01-04,Meta Ads,Brand Awareness,Display,14379,1056,262.54,74,7.34,0.25,Lookalike,AU,Desktop
2023-01-04,Google Ads,Conversion Boost,Search,9682,1122,1422.14,87,11.59,1.27,Interest-Based,AU,Desktop
2023-01-04,Google Ads,Retargeting,Mobile,24989,1773,817.44,30,7.1,0.46,Interest-Based,AU,Tablet
2023-01-04,Meta Ads,Retargeting,Video,15824,735,112.06,4,4.64,0.15,Custom,US,Mobile
2023-01-05,Meta Ads,Retargeting,Video,6939,2458,682.56,53,35.42,0.28,Lookalike,US,Mobile
2023-01-05,Meta Ads,Retargeting,Mobile,35464,2519,803.9,14,7.1,0.32,Custom,AU,Desktop
2023-01-05,Google Ads,Conversion Boost,Display,20167,1195,1025.84,68,5.93,0.86,Broad,AU,Mobile
2023-01-05,Meta Ads,Conversion Boost,Desktop,45605,2695,1146.06,77,5.91,0.43,Lookalike,IN,Desktop
2023-01-05,Meta Ads,Brand Awareness,Video,32433,2399,660.57,93,7.4,0.28,Custom,US,Tablet
2023-01-05,Google Ads,Retargeting,Mobile,31722,1039,1298.66,7,3.28,1.25,Interest-Based,UK,Desktop
2023-01-05,Google Ads,Conversion Boost,Search,12691,542,93.97,32,4.27,0.17,Interest-Based,CA,Desktop
2023-01-05,Google Ads,Lead Gen,Video,25272,2428,1193.85,10,9.61,0.49,Broad,IN,Tablet
2023-01-05,Meta Ads,Conversion Boost,Display,14979,1655,181.16,67,11.05,0.11,Custom,UK,Mobile
2023-01-05,Meta Ads,Retargeting,Mobile,26851,2657,621.88,58,9.9,0.23,Broad,US,Desktop
2023-01-05,Google Ads,Retargeting,Mobile,16449,2543,862.92,10,15.46,0.34,Lookalike,IN,Tablet
2023-01-05,Google Ads,Brand Awareness,Video,42316,1674,1380.69,86,3.96,0.82,Lookalike,AU,Tablet
2023-01-05,Meta Ads,Brand Awareness,Search,32030,919,941.07,25,2.87,1.02,Lookalike,US,Tablet
2023-01-05,Google Ads,Brand Awareness,Display,1619,932,1103.54,97,57.57,1.18,Lookalike,AU,Mobile
2023-01-05,Meta Ads,Brand Awareness,Search,35064,668,604.9,79,1.91,0.91,Interest-Based,AU,Tablet
2023-01-05,Google Ads,Retargeting,Display,6366,569,259.27,7,8.94,0.46,Lookalike,UK,Mobile
2023-01-05,Google Ads,Lead Gen,Search,11717,2069,386.06,64,17.66,0.19,Custom,AU,Desktop
2023-01-05,Google Ads,Lead Gen,Desktop,22542,2690,260.8,87,11.93,0.1,Lookalike,AU,Desktop
2023-01-05,Google Ads,Lead Gen,Search,23357,2190,758.37,8,9.38,0.35,Custom,UK,Tablet
2023-01-05,Meta Ads,Lead Gen,Mobile,19852,2171,1180.94,91,10.94,0.54,Lookalike,IN,Mobile
2023-01-05,Google Ads,Conversion Boost,Video,4583,2268,88.16,41,49.49,0.04,Custom,US,Desktop
2023-01-05,Google Ads,Brand Awareness,Search,5967,2419,781.73,47,40.54,0.32,Broad,CA,Desktop
2023-01-05,Google Ads,Brand Awareness,Video,6722,2887,654.48,92,42.95,0.23,Custom,AU,Mobile
2023-01-05,Meta Ads,Conversion Boost,Desktop,41386,1726,20.66,99,4.17,0.01,Lookalike,CA,Desktop
2023-01-05,Meta Ads,Lead Gen,Display,24816,1511,608.8,26,6.09,0.4,Interest-Based,AU,Tablet
2023-01-05,Google Ads,Brand Awareness,Desktop,3176,650,1146.29,66,20.47,1.76,Lookalike,CA,Tablet
2023-01-05,Google Ads,Lead Gen,Video,10171,2501,1136.31,34,24.59,0.45,Broad,IN,Mobile
2023-01-05,Google Ads,Lead Gen,Video,41546,2815,940.62,44,6.78,0.33,Custom,US,Mobile
2023-01-05,Meta Ads,Conversion Boost,Video,42075,910,854.83,90,2.16,0.94,Broad,AU,Mobile
2023-01-05,Google Ads,Brand Awareness,Mobile,2105,2421,1273.96,0,115.01,0.53,Lookalike,CA,Desktop
2023-01-05,Meta Ads,Conversion Boost,Search,16417,203,1378.99,86,1.24,6.79,Broad,CA,Tablet
2023-01-05,Meta Ads,Lead Gen,Search,30961,364,346.86,4,1.18,0.95,Lookalike,CA,Mobile
2023-01-05,Meta Ads,Brand Awareness,Carousel,35681,1266,279.33,97,3.55,0.22,Broad,US,Desktop
2023-01-05,Meta Ads,Lead Gen,Desktop,35540,2010,1426.68,68,5.66,0.71,Custom,UK,Tablet
2023-01-05,Google Ads,Conversion Boost,Display,3871,996,652.7,75,25.73,0.66,Custom,AU,Mobile
2023-01-05,Meta Ads,Retargeting,Search,11521,2500,232.85,70,21.7,0.09,Lookalike,US,Tablet
2023-01-05,Google Ads,Conversion Boost,Carousel,24854,2088,1420.76,39,8.4,0.68,Custom,US,Mobile
2023-01-05,Meta Ads,Retargeting,Video,8812,454,1149.4,22,5.15,2.53,Interest-Based,US,Tablet
2023-01-05,Google Ads,Conversion Boost,Carousel,10065,133,756.36,92,1.32,5.69,Custom,US,Mobile
2023-01-05,Meta Ads,Conversion Boost,Desktop,40464,1441,510.72,45,3.56,0.35,Broad,AU,Mobile
